iter	Logloss
0	0.6901492962
1	0.6875782834
2	0.6851041035
3	0.6828876367
4	0.6809900307
5	0.6784563797
6	0.6763281698
7	0.6737101114
8	0.6708615126
9	0.6683363694
10	0.6652812976
11	0.6630967485
12	0.6603201734
13	0.6590301945
14	0.6562861497
15	0.6531016423
16	0.6505988095
17	0.6471811616
18	0.6447255239
19	0.6422966664
20	0.6395124619
21	0.6375877841
22	0.6359540875
23	0.6334129976
24	0.6318070253
25	0.6291428678
26	0.6258877726
27	0.622916395
28	0.6204108801
29	0.6185885354
30	0.6163263454
31	0.6147455557
32	0.6128857735
33	0.6105876712
34	0.6084356414
35	0.6065229996
36	0.6044371502
37	0.6023649303
38	0.6002553263
39	0.59790946
40	0.5958693168
41	0.5937304784
42	0.5922277449
43	0.5897507985
44	0.5879827804
45	0.5855540969
46	0.5843107354
47	0.5824021844
48	0.5806478249
49	0.5791179492
50	0.5771626865
51	0.5757024694
52	0.5740620599
53	0.5724880728
54	0.5709319693
55	0.5694081292
56	0.5664842521
57	0.5642008549
58	0.5626956791
59	0.5613952296
60	0.5593502912
61	0.5577915562
62	0.5555930676
63	0.5535981705
64	0.5519155678
65	0.5505187196
66	0.5490291514
67	0.5476213637
68	0.5451993458
69	0.5434234056
70	0.54138167
71	0.5392909299
72	0.5375718714
73	0.5362300277
74	0.5348723422
75	0.5330727993
76	0.5317344162
77	0.5291306283
78	0.5276287361
79	0.5259893109
80	0.524637863
81	0.5233585497
82	0.5213673356
83	0.5199799708
84	0.51882079
85	0.5174189625
86	0.5154824818
87	0.5139477362
88	0.5127182837
89	0.511186983
90	0.5096552586
91	0.5079372752
92	0.5063604181
93	0.5049693261
94	0.5037288494
95	0.5021085935
96	0.5008114121
97	0.4994029609
98	0.4978674383
99	0.4959842921
100	0.4947201111
101	0.4934585325
102	0.4920669313
103	0.4906045491
104	0.489197997
105	0.4871817968
106	0.4860776901
107	0.4840866261
108	0.4816486929
109	0.4799122196
110	0.4787196921
111	0.4777303877
112	0.4767704466
113	0.4755093825
114	0.474136918
115	0.4732213802
116	0.4708877084
117	0.4694172567
118	0.4681755858
119	0.4672146331
120	0.4662428509
121	0.4652037532
122	0.4634303349
123	0.4620111797
124	0.4608167063
125	0.4595465246
126	0.4587423763
127	0.4572168589
128	0.456047928
129	0.4548951583
130	0.4536252792
131	0.452598591
132	0.4507076485
133	0.4496892761
134	0.4484206655
135	0.4469817712
136	0.4455505397
137	0.4443588669
138	0.443332605
139	0.4420030017
140	0.4409262402
141	0.4397971364
142	0.4388416242
143	0.4375291874
144	0.43647121
145	0.4352187182
146	0.4335010328
147	0.4327084097
148	0.4314140819
